artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
,,1,210251,TRUE,https://api.spotify.com/v1/tracks/0Jlcvv8IykzHaSmj49uNW8,0Jlcvv8IykzHaSmj49uNW8,FALSE,the 1,75,NA,1,track,spotify:track:0Jlcvv8IykzHaSmj49uNW8,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002835,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
,,1,239560,FALSE,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,4R2kfaDFhslZEMJqAFNpdd,FALSE,cardigan,79,NA,2,track,spotify:track:4R2kfaDFhslZEMJqAFNpdd,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002836,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
,,1,230999,TRUE,https://api.spotify.com/v1/tracks/2Eeur20xVqfUoM3Q7EFPFt,2Eeur20xVqfUoM3Q7EFPFt,FALSE,the last great american dynasty,71,NA,3,track,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002837,https://open.spotify.com/track/2Eeur20xVqfUoM3Q7EFPFt
,,1,285634,FALSE,https://api.spotify.com/v1/tracks/4pvb0WLRcMtbPGmtejJJ6y,4pvb0WLRcMtbPGmtejJJ6y,FALSE,exile (feat. Bon Iver),78,NA,4,track,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002838,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
,,1,255893,FALSE,https://api.spotify.com/v1/tracks/1MgV7FIyNxIG7WzMRJV5HC,1MgV7FIyNxIG7WzMRJV5HC,FALSE,my tears ricochet,72,NA,5,track,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002839,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC
,,1,208977,FALSE,https://api.spotify.com/v1/tracks/0ZNU020wNYvgW84iljPkPP,0ZNU020wNYvgW84iljPkPP,FALSE,mirrorball,70,NA,6,track,spotify:track:0ZNU020wNYvgW84iljPkPP,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002840,https://open.spotify.com/track/0ZNU020wNYvgW84iljPkPP
,,1,208906,FALSE,https://api.spotify.com/v1/tracks/6KJqZcs9XDgVck7Lg9QOTC,6KJqZcs9XDgVck7Lg9QOTC,FALSE,seven,69,NA,7,track,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002841,https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC
,,1,261922,FALSE,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,3hUxzQpSfdDqwM3ZTFQY0K,FALSE,august,80,NA,8,track,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002842,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
,,1,195097,FALSE,https://api.spotify.com/v1/tracks/7kt9e9LFSpN1zQtYEl19o1,7kt9e9LFSpN1zQtYEl19o1,FALSE,this is me trying,71,NA,9,track,spotify:track:7kt9e9LFSpN1zQtYEl19o1,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002843,https://open.spotify.com/track/7kt9e9LFSpN1zQtYEl19o1
,,1,190898,FALSE,https://api.spotify.com/v1/tracks/2NmsngXHeC1GQ9wWrzhOMf,2NmsngXHeC1GQ9wWrzhOMf,FALSE,illicit affairs,70,NA,10,track,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002844,https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf
,,1,252880,FALSE,https://api.spotify.com/v1/tracks/6VsvKPJ4xjVNKpI8VVZ3SV,6VsvKPJ4xjVNKpI8VVZ3SV,FALSE,invisible string,71,NA,11,track,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002845,https://open.spotify.com/track/6VsvKPJ4xjVNKpI8VVZ3SV
,,1,237258,TRUE,https://api.spotify.com/v1/tracks/2QDyYdZyhlP2fp79KZX8Bi,2QDyYdZyhlP2fp79KZX8Bi,FALSE,mad woman,67,NA,12,track,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002846,https://open.spotify.com/track/2QDyYdZyhlP2fp79KZX8Bi
,,1,289749,FALSE,https://api.spotify.com/v1/tracks/08fa9LFcFBTcilB3iq2e2A,08fa9LFcFBTcilB3iq2e2A,FALSE,epiphany,67,NA,13,track,spotify:track:08fa9LFcFBTcilB3iq2e2A,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002847,https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A
,,1,294521,TRUE,https://api.spotify.com/v1/tracks/5kI4eCXXzyuIUXjQra0Cxi,5kI4eCXXzyuIUXjQra0Cxi,FALSE,betty,71,NA,14,track,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002848,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi
,,1,234000,TRUE,https://api.spotify.com/v1/tracks/7MbT4I8qGntX4fMdqMQgke,7MbT4I8qGntX4fMdqMQgke,FALSE,peace,67,NA,15,track,spotify:track:7MbT4I8qGntX4fMdqMQgke,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002849,https://open.spotify.com/track/7MbT4I8qGntX4fMdqMQgke
,,1,220042,FALSE,https://api.spotify.com/v1/tracks/6MWoRt97mnSTXZhu3ggi9C,6MWoRt97mnSTXZhu3ggi9C,FALSE,hoax,66,NA,16,track,spotify:track:6MWoRt97mnSTXZhu3ggi9C,album,,,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,16,album,spotify:album:2fenSS68JI1h4Fo296JfGr,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002850,https://open.spotify.com/track/6MWoRt97mnSTXZhu3ggi9C
,,1,237066,FALSE,https://api.spotify.com/v1/tracks/6WWvcA62QlnRguluWAk6bv,6WWvcA62QlnRguluWAk6bv,FALSE,Jump Then Fall,45,NA,1,track,spotify:track:6WWvcA62QlnRguluWAk6bv,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0903521,https://open.spotify.com/track/6WWvcA62QlnRguluWAk6bv
,,1,311040,FALSE,https://api.spotify.com/v1/tracks/6ovFJkdau79DuXEvQjPaNH,6ovFJkdau79DuXEvQjPaNH,FALSE,Untouchable,44,NA,2,track,spotify:track:6ovFJkdau79DuXEvQjPaNH,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0903519,https://open.spotify.com/track/6ovFJkdau79DuXEvQjPaNH
,,1,267506,FALSE,https://api.spotify.com/v1/tracks/13MAWVUSkbGMUi6I7RowRK,13MAWVUSkbGMUi6I7RowRK,FALSE,Forever & Always - Piano Version,45,NA,3,track,spotify:track:13MAWVUSkbGMUi6I7RowRK,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0903523,https://open.spotify.com/track/13MAWVUSkbGMUi6I7RowRK
,,1,238093,FALSE,https://api.spotify.com/v1/tracks/0cEG04R5cldkTLzK6phlcn,0cEG04R5cldkTLzK6phlcn,FALSE,Come In With The Rain,42,NA,4,track,spotify:track:0cEG04R5cldkTLzK6phlcn,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0903520,https://open.spotify.com/track/0cEG04R5cldkTLzK6phlcn
,,1,261453,FALSE,https://api.spotify.com/v1/tracks/0XfTh16YcKPzdxMPTeKTAq,0XfTh16YcKPzdxMPTeKTAq,FALSE,SuperStar,41,NA,5,track,spotify:track:0XfTh16YcKPzdxMPTeKTAq,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0903522,https://open.spotify.com/track/0XfTh16YcKPzdxMPTeKTAq
,,1,237600,FALSE,https://api.spotify.com/v1/tracks/1yDJcXc549N6AabNBzFAku,1yDJcXc549N6AabNBzFAku,FALSE,The Other Side Of The Door,42,NA,6,track,spotify:track:1yDJcXc549N6AabNBzFAku,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803329,https://open.spotify.com/track/1yDJcXc549N6AabNBzFAku
,,1,242000,FALSE,https://api.spotify.com/v1/tracks/2okho7vU7Nsq1UZD0kgIMi,2okho7vU7Nsq1UZD0kgIMi,FALSE,Fearless,45,NA,7,track,spotify:track:2okho7vU7Nsq1UZD0kgIMi,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803332,https://open.spotify.com/track/2okho7vU7Nsq1UZD0kgIMi
,,1,294346,FALSE,https://api.spotify.com/v1/tracks/5Ora3Ish2A1JN5veGYTxhw,5Ora3Ish2A1JN5veGYTxhw,FALSE,Fifteen,44,NA,8,track,spotify:track:5Ora3Ish2A1JN5veGYTxhw,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803333,https://open.spotify.com/track/5Ora3Ish2A1JN5veGYTxhw
,,1,235280,FALSE,https://api.spotify.com/v1/tracks/5hnJCRSo4pxRsaEwT9YusG,5hnJCRSo4pxRsaEwT9YusG,FALSE,Love Story,58,NA,9,track,spotify:track:5hnJCRSo4pxRsaEwT9YusG,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803275,https://open.spotify.com/track/5hnJCRSo4pxRsaEwT9YusG
,,1,254320,FALSE,https://api.spotify.com/v1/tracks/3CI1f4yLwdHzcUnH7o0Xyh,3CI1f4yLwdHzcUnH7o0Xyh,FALSE,Hey Stephen,48,NA,10,track,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803323,https://open.spotify.com/track/3CI1f4yLwdHzcUnH7o0Xyh
,,1,234440,FALSE,https://api.spotify.com/v1/tracks/5yKB8qcTSflDercM2PXwot,5yKB8qcTSflDercM2PXwot,FALSE,White Horse,44,NA,11,track,spotify:track:5yKB8qcTSflDercM2PXwot,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803264,https://open.spotify.com/track/5yKB8qcTSflDercM2PXwot
,,1,231146,FALSE,https://api.spotify.com/v1/tracks/4kgTdThcDHfuDS2kKxB7Lc,4kgTdThcDHfuDS2kKxB7Lc,FALSE,You Belong With Me,57,NA,12,track,spotify:track:4kgTdThcDHfuDS2kKxB7Lc,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803328,https://open.spotify.com/track/4kgTdThcDHfuDS2kKxB7Lc
,,1,263986,FALSE,https://api.spotify.com/v1/tracks/23qIWGhpwvDgC23TyZOUck,23qIWGhpwvDgC23TyZOUck,FALSE,Breathe,42,NA,13,track,spotify:track:23qIWGhpwvDgC23TyZOUck,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803331,https://open.spotify.com/track/23qIWGhpwvDgC23TyZOUck
,,1,200560,FALSE,https://api.spotify.com/v1/tracks/4x7Gxk2GfwZJcqpoVT1PbR,4x7Gxk2GfwZJcqpoVT1PbR,FALSE,Tell Me Why,45,NA,14,track,spotify:track:4x7Gxk2GfwZJcqpoVT1PbR,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803330,https://open.spotify.com/track/4x7Gxk2GfwZJcqpoVT1PbR
,,1,261800,FALSE,https://api.spotify.com/v1/tracks/3JhvYnOfKLJuWC7jEU0GmJ,3JhvYnOfKLJuWC7jEU0GmJ,FALSE,You're Not Sorry,47,NA,15,track,spotify:track:3JhvYnOfKLJuWC7jEU0GmJ,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803334,https://open.spotify.com/track/3JhvYnOfKLJuWC7jEU0GmJ
,,1,244240,FALSE,https://api.spotify.com/v1/tracks/4pEZUytwBzha5Un6m3SCFf,4pEZUytwBzha5Un6m3SCFf,FALSE,The Way I Loved You,53,NA,16,track,spotify:track:4pEZUytwBzha5Un6m3SCFf,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803327,https://open.spotify.com/track/4pEZUytwBzha5Un6m3SCFf
,,1,225333,FALSE,https://api.spotify.com/v1/tracks/3NKCWBT2uKp8rxSkcvIrdX,3NKCWBT2uKp8rxSkcvIrdX,FALSE,Forever & Always,49,NA,17,track,spotify:track:3NKCWBT2uKp8rxSkcvIrdX,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803336,https://open.spotify.com/track/3NKCWBT2uKp8rxSkcvIrdX
,,1,245346,FALSE,https://api.spotify.com/v1/tracks/7CjuAoOiSrwWv7wJonAUmw,7CjuAoOiSrwWv7wJonAUmw,FALSE,The Best Day,41,NA,18,track,spotify:track:7CjuAoOiSrwWv7wJonAUmw,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803326,https://open.spotify.com/track/7CjuAoOiSrwWv7wJonAUmw
,,1,281053,FALSE,https://api.spotify.com/v1/tracks/3gFaNwyiafgUoQhR0pHYA9,3gFaNwyiafgUoQhR0pHYA9,FALSE,Change,44,NA,19,track,spotify:track:3gFaNwyiafgUoQhR0pHYA9,album,,,https://api.spotify.com/v1/albums/2gP2LMVcIFgVczSJqn340t,2gP2LMVcIFgVczSJqn340t,,Fearless (Platinum Edition),2008-11-11,day,19,album,spotify:album:2gP2LMVcIFgVczSJqn340t,https://open.spotify.com/album/2gP2LMVcIFgVczSJqn340t,USCJY0803274,https://open.spotify.com/track/3gFaNwyiafgUoQhR0pHYA9
